Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
0600000US3602705100,3602705100,"Beacon city, Dutchess County, New York",5142,300,(X),(X),217,134,4.2,2.6,786,170,15.3,3.3,163,120,20.7,13.7,303,110,5.9,2.1,54,56,17.8,16.5,92,60,1.8,1.1,0,18,0,27.2,18,30,0.4,0.6,0,18,0,67.2
0600000US3602705452,3602705452,"Beekman town, Dutchess County, New York",4381,140,(X),(X),48,43,1.1,1,325,89,7.4,2,42,41,12.9,13,299,83,6.8,1.9,6,10,2,3.3,64,42,1.5,0.9,0,18,0,35.3,15,16,0.3,0.4,0,18,0,73.6
0600000US3602716408,3602716408,"Clinton town, Dutchess County, New York",1531,123,(X),(X),24,35,1.6,2.4,39,38,2.5,2.6,24,35,61.5,55,47,38,3.1,2.5,0,11,0,41.6,13,20,0.8,1.3,0,11,0,79,9,13,0.6,0.9,0,11,0,95
0600000US3602720819,3602720819,"Dover town, Dutchess County, New York",3186,171,(X),(X),200,108,6.3,3.4,425,121,13.3,3.9,200,108,47.1,16.8,93,63,2.9,1.9,0,16,0,27,19,22,0.6,0.7,0,16,0,65.4,7,11,0.2,0.3,0,16,0,100
0600000US3602721996,3602721996,"East Fishkill town, Dutchess County, New York",9607,275,(X),(X),282,124,2.9,1.3,607,171,6.3,1.8,101,99,16.6,14.2,1015,171,10.6,1.7,131,63,12.9,5.7,215,85,2.2,0.9,50,38,23.3,16.3,161,93,1.7,1,0,21,0,16.9
0600000US3602725978,3602725978,"Fishkill town, Dutchess County, New York",8576,336,(X),(X),224,105,2.6,1.3,798,186,9.3,2.2,100,74,12.5,8.6,555,132,6.5,1.6,76,64,13.7,11.2,377,101,4.4,1.2,48,40,12.7,10.3,95,61,1.1,0.7,0,21,0,26.5
0600000US3602737209,3602737209,"Hyde Park town, Dutchess County, New York",7357,361,(X),(X),94,75,1.3,1,375,112,5.1,1.5,42,55,11.2,14.5,251,88,3.4,1.2,23,35,9.2,13.3,121,70,1.6,1,29,37,24,26.5,162,96,2.2,1.3,0,21,0,16.8
0600000US3602740299,3602740299,"La Grange town, Dutchess County, New York",5361,184,(X),(X),103,67,1.9,1.2,254,71,4.7,1.3,21,33,8.3,12.3,299,80,5.6,1.5,48,34,16.1,10.9,241,69,4.5,1.3,34,40,14.1,15.4,21,15,0.4,0.3,0,18,0,62.2
0600000US3602747207,3602747207,"Milan town, Dutchess County, New York",980,75,(X),(X),11,11,1.1,1.1,25,25,2.6,2.6,6,9,24,40.8,59,31,6,3,5,8,8.5,11.9,13,13,1.3,1.3,0,11,0,79,6,9,0.6,0.9,0,11,0,100
0600000US3602751891,3602751891,"North East town, Dutchess County, New York",1207,105,(X),(X),22,23,1.8,1.9,102,61,8.5,5.5,20,22,19.6,25.6,40,29,3.3,2.3,0,11,0,45.1,22,18,1.8,1.5,2,5,9.1,25.5,0,11,0,2.5,0,11,-,**
0600000US3602756825,3602756825,"Pawling town, Dutchess County, New York",3180,154,(X),(X),56,34,1.8,1,258,71,8.1,2.3,23,20,8.9,8,234,81,7.4,2.5,7,12,3,5.2,35,29,1.1,0.9,26,25,74.3,33.4,0,16,0,0.9,0,16,-,**
0600000US3602758156,3602758156,"Pine Plains town, Dutchess County, New York",1048,72,(X),(X),11,12,1,1.1,30,32,2.9,3.1,0,11,0,52,63,39,6,3.7,11,12,17.5,19.3,6,8,0.6,0.8,0,11,0,100,13,20,1.2,1.9,0,11,0,79
0600000US3602758695,3602758695,"Pleasant Valley town, Dutchess County, New York",3997,179,(X),(X),120,93,3,2.3,188,101,4.7,2.6,57,59,30.3,24.9,178,98,4.5,2.4,63,77,35.4,33.3,32,24,0.8,0.6,0,16,0,50.4,36,29,0.9,0.7,0,16,0,47.5
0600000US3602759641,3602759641,"Poughkeepsie city, Dutchess County, New York",12668,404,(X),(X),656,193,5.2,1.5,1594,231,12.6,1.8,383,135,24,7.5,656,155,5.2,1.2,155,95,23.6,12.1,179,95,1.4,0.7,118,92,65.9,30.7,204,81,1.6,0.6,0,24,0,13.6
0600000US3602759652,3602759652,"Poughkeepsie town, Dutchess County, New York",15200,407,(X),(X),415,165,2.7,1.1,1430,238,9.4,1.6,268,144,18.7,9.3,855,173,5.6,1.1,34,30,4,3.5,585,122,3.8,0.8,113,83,19.3,12.7,264,114,1.7,0.8,0,24,0,10.7
0600000US3602760905,3602760905,"Red Hook town, Dutchess County, New York",3851,160,(X),(X),55,31,1.4,0.8,195,65,5.1,1.7,31,26,15.9,12.4,154,53,4,1.4,9,13,5.8,8.2,34,24,0.9,0.6,10,15,29.4,34.8,13,15,0.3,0.4,5,8,38.5,57.7
0600000US3602761357,3602761357,"Rhinebeck town, Dutchess County, New York",3191,178,(X),(X),21,22,0.7,0.7,120,59,3.8,1.9,8,13,6.7,10.3,219,66,6.9,2.1,0,16,0,12.8,36,29,1.1,0.9,13,16,36.1,41.1,12,13,0.4,0.4,0,16,0,82.3
0600000US3602770662,3602770662,"Stanford town, Dutchess County, New York",1495,115,(X),(X),0,11,0,2,49,51,3.3,3.5,0,11,0,40.7,76,47,5.1,3.1,0,11,0,31.4,29,45,1.9,3,0,11,0,52.9,0,11,0,2,0,11,-,**
0600000US3602776166,3602776166,"Union Vale town, Dutchess County, New York",1818,94,(X),(X),28,26,1.5,1.4,26,26,1.4,1.5,0,11,0,55.9,99,44,5.4,2.5,18,21,18.2,20.7,43,35,2.4,1.9,10,16,23.3,29.5,68,55,3.7,3.1,0,11,0,33.9
0600000US3602778157,3602778157,"Wappinger town, Dutchess County, New York",10055,273,(X),(X),328,97,3.3,1,1322,222,13.1,2.2,172,74,13,5.7,603,120,6,1.2,108,60,17.9,8.9,273,88,2.7,0.9,27,23,9.9,8.5,139,69,1.4,0.7,21,23,15.1,16
0600000US3602778388,3602778388,"Washington town, Dutchess County, New York",1899,135,(X),(X),33,29,1.7,1.6,47,30,2.5,1.6,33,29,70.2,37.3,69,42,3.6,2.2,0,11,0,33.6,0,11,0,1.6,0,11,-,**,10,13,0.5,0.7,0,11,0,90.1
0600000US3602900000,3602900000,"County subdivisions not defined, Erie County, New York",0,11,(X),(X),0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**
0600000US3602901099,3602901099,"Alden town, Erie County, New York",3203,148,(X),(X),0,18,0,0.9,19,22,0.6,0.7,0,18,0,65.4,68,34,2.1,1,0,18,0,33.9,0,18,0,0.9,0,18,-,**,0,18,0,0.9,0,18,-,**
0600000US3602902000,3602902000,"Amherst town, Erie County, New York",49872,748,(X),(X),1342,245,2.7,0.5,1122,221,2.2,0.4,101,82,9,6.7,4058,479,8.1,1,688,205,17,4.2,2365,318,4.7,0.6,483,138,20.4,5,642,213,1.3,0.4,70,57,10.9,8
0600000US3602903199,3602903199,"Aurora town, Erie County, New York",5451,229,(X),(X),21,26,0.4,0.5,69,50,1.3,0.9,0,18,0,33.6,118,70,2.2,1.3,16,24,13.6,18.5,5,8,0.1,0.1,5,8,100,100,10,8,0.2,0.1,0,18,0,90.1
0600000US3602907454,3602907454,"Boston town, Erie County, New York",3444,172,(X),(X),9,15,0.3,0.4,47,44,1.4,1.3,0,16,0,41.6,90,60,2.6,1.7,9,15,10,16.3,0,16,0,0.9,0,16,-,**,0,16,0,0.9,0,16,-,**
